19:26:31,127.0.0.1,,,page=login,,
19:26:36,127.0.0.1,,http://localhost/neighpal/cgi-bin/neighpal.cgi?page=login,page=login,,
19:33:47,127.0.0.1,,http://localhost/neighpal/cgi-bin/neighpal.cgi?page=login,page=logout,mike,1
19:33:52,127.0.0.1,,http://localhost/neighpal/cgi-bin/neighpal.cgi?page=logout,page=login,,
19:33:59,127.0.0.1,,http://localhost/neighpal/cgi-bin/neighpal.cgi?page=login,page=login,,
19:34:10,127.0.0.1,,http://localhost/neighpal/cgi-bin/neighpal.cgi?page=login,race=open&fname=20140922__0900.dat,mike,1
19:34:34,127.0.0.1,,http://localhost/neighpal/cgi-bin/neighpal.cgi?race=open&fname=20140922__0900.dat,race=open&fname=20140922__0900.dat,mike,1
19:34:36,127.0.0.1,,http://localhost/neighpal/cgi-bin/neighpal.cgi?race=open&fname=20140922__0900.dat,race=open&fname=20140922__0900.dat,mike,1
19:35:24,127.0.0.1,,http://localhost/neighpal/cgi-bin/neighpal.cgi?race=open&fname=20140922__0900.dat,race=open&fname=20140922__0900.dat,mike,1
19:35:27,127.0.0.1,,http://localhost/neighpal/cgi-bin/neighpal.cgi?race=open&fname=20140922__0900.dat,page=logout,mike,1
19:37:23,127.0.0.1,,http://localhost/neighpal/cgi-bin/neighpal.cgi?page=logout,,,
19:37:42,127.0.0.1,,http://localhost/neighpal/cgi-bin/neighpal.cgi?page=logout,,,
19:37:55,127.0.0.1,,http://localhost/neighpal/cgi-bin/neighpal.cgi?page=logout,,,
19:38:19,127.0.0.1,,http://localhost/neighpal/cgi-bin/neighpal.cgi?page=logout,,,
19:38:22,127.0.0.1,,http://localhost/neighpal/cgi-bin/neighpal.cgi?page=logout,,,
19:38:26,127.0.0.1,,,,,
19:39:56,127.0.0.1,,,,,
19:41:45,127.0.0.1,,,,,
19:41:47,127.0.0.1,,,,,
19:43:34,127.0.0.1,,,,,
19:43:43,127.0.0.1,,http://localhost/neighpal/cgi-bin/neighpal.cgi?,page=login,,
19:43:48,127.0.0.1,,http://localhost/neighpal/cgi-bin/neighpal.cgi?page=login,page=login,,
19:43:53,127.0.0.1,,http://localhost/neighpal/cgi-bin/neighpal.cgi?page=login,race=open&fname=20140922__0900.dat,mike,1
